taxon;taxonid;taxon_group;tax_orig;tax_origid;tax_orig_taal;tax_canon
Polygala calcarea F.W. Schultz;INBSYS0000017094;VP;kalkvleugeltjesbloem;TX2013080712044213;nl;Polygala calcarea
Polygala comosa Schkuhr;INBSYS0000008979;VP;kuifvleugeltjesbloem;TX2009083120532653;nl;Polygala comosa
Polygala serpyllifolia Hose;INBSYS0000013962;VP;liggende vleugeltjesbloem;TX2009083120532768;nl;Polygala serpyllifolia
Polygala serpyllifolia Hose;INBSYS0000013962;VP;Polygala depressa Wender.;INBSYS0000016159;Sci;Polygala serpyllifolia
Polygala serpyllifolia Hose;INBSYS0000013962;VP;Polygala serpyllacea Weihe;INBSYS0000016160;Sci;Polygala serpyllifolia
Polygala vulgaris L.;INBSYS0000013961;VP;gewone vleugeltjesbloem;TX2009083120533084;nl;Polygala vulgaris
Polygala vulgaris L. subsp. collina (Reichenb.) Borbás;TX2009083117190903;VP;gewone vleugeltjesbloem subsp. collina;TX2009083120532984;nl;Polygala vulgaris subsp. collina
Polygonatum;INBSYS0000015736;VP;salomonszegel (g);TX2009083120540365;nl;Polygonatum
Polygonatum ×hybridum Brügger;TI2025042200003200;VP;Polygonatum ×hybridum Brügger;TI2025042200003200;Sci;Polygonatum x hybridum
Polygonatum multiflorum (L.) All.;INBSYS0000013585;VP;gewone salomonszegel;TX2009083120540150;nl;Polygonatum multiflorum
Polygonatum odoratum (Mill.) Druce;INBSYS0000017095;VP;welriekende salomonszegel;TX2009083120540265;nl;Polygonatum odoratum
Polygonatum odoratum (Mill.) Druce;INBSYS0000017095;VP;Polygonatum officinale All.;INBSYS0000016161;Sci;Polygonatum odoratum
Polygonatum odoratum (Mill.) Druce;INBSYS0000017095;VP;Polygonatum vulgare Desf.;INBSYS0000008930;Sci;Polygonatum odoratum
Polygonatum verticillatum (L.) All.;INBSYS0000013584;VP;kranssalomonszegel;TX2009083120540481;nl;Polygonatum verticillatum
Polygonum;INBSYS0000014375;VP;varkensgras (g);TX2009083120535403;nl;Polygonum
Polygonum achoreum S.F. Blake;INBSYS0000008974;VP;Polygonum achoreum S.F. Blake;INBSYS0000008974;Sci;Polygonum achoreum
Polygonum arenarium Waldst. et Kit.;INBSYS0000008968;VP;Polygonum arenarium Waldst. et Kit.;INBSYS0000008968;Sci;Polygonum arenarium
Polygonum arenarium Waldst. et Kit. subsp. pulchellum (Loisel.) D.A. Webb et Chater;INBSYS0000008969;VP;Polygonum arenarium Waldst. et Kit. subsp. pulchellum (Loisel.) D.A. Webb et Chater;INBSYS0000008969;Sci;Polygonum arenarium subsp. pulchellum
Polygonum aviculare L.;INBSYS0000016775;VP;varkensgras;TX2009083120533646;nl;Polygonum aviculare
Polygonum aviculare L. subsp. aviculare;TX2009083117191103;VP;varkensgras subsp. aviculare;TX2009083120533100;nl;Polygonum aviculare subsp. aviculare
Polygonum aviculare L. subsp. aviculare;TX2009083117191103;VP;Polygonum heterophyllum Lindm.;TX2009083118375678;Sci;Polygonum aviculare subsp. aviculare
Polygonum aviculare L. subsp. depressum (Meissner) Arcang.;TX2009083117191318;VP;Polygonum aviculare L. subsp. aequale (Lindm.) Aschers. et Graebn.;TX2009083118375978;Sci;Polygonum aviculare subsp. depressum
Polygonum aviculare L. subsp. depressum (Meissner) Arcang.;TX2009083117191318;VP;Polygonum aviculare L. subsp. microspermum (Jord. ex Boreau) Berher;TX2009083118380078;Sci;Polygonum aviculare subsp. depressum
Polygonum aviculare L. subsp. depressum (Meissner) Arcang.;TX2009083117191318;VP;varkensgras subsp. depressum;TX2009083120533200;nl;Polygonum aviculare subsp. depressum
Polygonum aviculare L. subsp. depressum (Meissner) Arcang.;TX2009083117191318;VP;Polygonum arenastrum Boreau;INBSYS0000014376;Sci;Polygonum aviculare subsp. depressum
Polygonum aviculare L. subsp. depressum (Meissner) Arcang.;TX2009083117191318;VP;Polygonum aequale Lindm.;INBSYS0000016162;Sci;Polygonum aviculare subsp. depressum
Polygonum aviculare L. subsp. depressum (Meissner) Arcang.;TX2009083117191318;VP;Polygonum calcatum Lindm.;INBSYS0000017353;Sci;Polygonum aviculare subsp. depressum
Polygonum aviculare L. subsp. depressum (Meissner) Arcang.;TX2009083117191318;VP;Polygonum microspermum Jord. ex Boreau;INBSYS0000017097;Sci;Polygonum aviculare subsp. depressum
Polygonum aviculare L. subsp. rurivagum (Jord. ex Boreau) Berher;TX2009083117191618;VP;varkensgras subsp. rurivagum;TX2009083120533431;nl;Polygonum aviculare subsp. rurivagum
Polygonum bellardii All.;INBSYS0000008966;VP;Polygonum bellardii All.;INBSYS0000008966;Sci;Polygonum bellardii
Polygonum capitatum Ham. ex D. Don;INBSYS0000008965;VP;Polygonum capitatum Ham. ex D. Don;INBSYS0000008965;Sci;Polygonum capitatum
Polygonum glabrum Willd.;INBSYS0000008978;VP;Polygonum glabrum Willd.;INBSYS0000008978;Sci;Polygonum glabrum
Polygonum maritimum L.;INBSYS0000014377;VP;strandvarkensgras;TX2009083120534740;nl;Polygonum maritimum
Polygonum oxyspermum C.A.Mey. & Bunge;TI2025042200003201;VP;zandvarkensgras;TX2009083120535056;nl;Polygonum oxyspermum
Polygonum raii Bab.;INBSYS0000016172;VP;Polygonum oxyspermum subsp. raii (Bab.) D.A.Webb & Chater;TI2025042200004811;Sci;Polygonum raii
Polygonum raii Bab.;INBSYS0000016172;VP;zandvarkensgras s.s.;TI2025042200004663;nl;Polygonum raii
Polygonum viviparum L.;INBSYS0000016173;VP;Polygonum viviparum L.;INBSYS0000016173;Sci;Polygonum viviparum
Polypodium;INBSYS0000015737;VP;eikvaren (g);TX2009083120531790;nl;Polypodium
Polypodium ×mantoniae Rothm.;TI2025042200003202;VP;brede eikvaren x gewone eikvaren;TX2009083120532006;nl;Polypodium x mantoniae
Polypodium cambricum L.;TI2025042200003203;VP;Polypodium vulgare L. var. cambricum (L.) Willd.;TI2025042200004812;Sci;Polypodium cambricum
Polypodium hesperium Maxon;INBSYS0000008985;VP;Polypodium hesperium Maxon;INBSYS0000008985;Sci;Polypodium hesperium
Polypodium interjectum Shivas;INBSYS0000013543;VP;Polypodium vulgare L. subsp. prionodes (Aschers.) Rothm.;TX2009083118374962;Sci;Polypodium interjectum
Polypodium interjectum Shivas;INBSYS0000013543;VP;brede eikvaren;TX2009083120531675;nl;Polypodium interjectum
Polypodium vulgare L.;INBSYS0000013542;VP;gewone eikvaren;TX2009083120531906;nl;Polypodium vulgare
Polypodium vulgare L.;INBSYS0000013542;VP;Polypodium vulgare L. subsp. vulgare;TX2009083118375062;Sci;Polypodium vulgare
Polypodium vulgare s.l.;INBSYS0000008983;VP;eikvaren;TX2009083120531890;nl;Polypodium vulgare groep
Polypogon;TX2009083117194381;VP;baardgras (g);TX2009083120535618;nl;Polypogon
Polypogon maritimus Willd.;INBSYS0000016627;VP;ruw baardgras;TI2025042200004420;nl;Polypogon maritimus
Polypogon monspeliensis (L.) Desf.;INBSYS0000017099;VP;baardgras;TX2009083120535503;nl;Polypogon monspeliensis
Polypogon viridis (Gouan) Breistr.;INBSYS0000013782;VP;kransgras;TI2025042200004181;nl;Polypogon viridis
Polysporina;TX2009083118131300;LI;Polysporina;TX2009083118131300;Sci;Polysporina
Polysporina simplex (Borrer ex Hook.) Vezda;TI2025042200003204;LI;doolhofschijfje;TI2025042200003739;nl;Polysporina simplex
Polystichum;INBSYS0000015739;VP;naaldvaren (g);TX2009083120540050;nl;Polystichum
Polystichum ×bicknellii (Christ) Hahne;TI2025042200003205;VP;Polystichum ×bicknellii (Christ) Hahne;TI2025042200003205;Sci;Polystichum x bicknellii
Polystichum aculeatum (L.) Roth;INBSYS0000013535;VP;Aspidium lobatum (Huds.) Swartz;INBSYS0000008933;Sci;Polystichum aculeatum
Polystichum aculeatum (L.) Roth;INBSYS0000013535;VP;Polystichum lobatum (Huds.) Bast.;INBSYS0000008934;Sci;Polystichum aculeatum
Polystichum aculeatum (L.) Roth;INBSYS0000013535;VP;stijve naaldvaren;TX2009083120535718;nl;Polystichum aculeatum
Polystichum lonchitis (L.) Roth;INBSYS0000013537;VP;lansvaren;TX2009083120535834;nl;Polystichum lonchitis
Polystichum setiferum (Forssk.) T. Moore ex Woynar;TI2025042200003206;VP;zachte naaldvaren;TX2009083120535934;nl;Polystichum setiferum
Polystichum setiferum (Forssk.) T. Moore ex Woynar;TI2025042200003206;VP;Aspidium angulare Kit. ex Willd.;INBSYS0000015946;Sci;Polystichum setiferum
Polystichum tsus-simense J. Smith;TI2025042200003207;VP;Polystichum tsus-simense J. Smith;TI2025042200003207;Sci;Polystichum tsus-simense
Polytrichastrum;INBSYS0000002340;BR;Polytrichastrum;INBSYS0000002340;Sci;Polytrichastrum
Polytrichastrum alpinum (Hedw.) G.L.Sm.;INBSYS0000001254;BR;Polytrichum alpinum Hedw.;INBSYS0000023257;Sci;Polytrichastrum alpinum
Polytrichastrum alpinum (Hedw.) G.L.Sm.;INBSYS0000001254;BR;berghaarmos;TI2025042200003576;nl;Polytrichastrum alpinum
Polytrichum;INBSYS0000001983;BR;haarmos (g);TX2009083119064893;nl;Polytrichum
Polytrichum commune Hedw.;INBSYS0000001673;BR;gewoon haarmos;TX2009083119064346;nl;Polytrichum commune
Polytrichum commune Hedw. var. commune;TI2025042200003208;BR;Polytrichum commune Hedw. var. commune;TI2025042200003208;Sci;Polytrichum commune var. commune
Polytrichum commune Hedw. var. perigoniale (Michx.) Hampe;TI2025042200003209;BR;Polytrichum commune Hedw. var. perigoniale (Michx.) Hampe;TI2025042200003209;Sci;Polytrichum commune var. perigoniale
Polytrichum formosum Hedw.;INBSYS0000002309;BR;Polytrichastrum formosum (Hedw.) G.L.Sm.;INBSYS0000001255;Sci;Polytrichum formosum
Polytrichum formosum Hedw.;INBSYS0000002309;BR;fraai haarmos;TX2009083119064446;nl;Polytrichum formosum
Polytrichum juniperinum Hedw.;INBSYS0000001674;BR;echt zandhaarmos;TX2009083119064562;nl;Polytrichum juniperinum
Polytrichum longisetum Sw. ex Brid.;INBSYS0000002310;BR;gerand haarmos;TX2009083119064662;nl;Polytrichum longisetum
Polytrichum longisetum Sw. ex Brid.;INBSYS0000002310;BR;Polytrichastrum longisetum (Sw. ex Brid.) G.L.Sm.;INBSYS0000001536;Sci;Polytrichum longisetum
Polytrichum piliferum Hedw.;INBSYS0000001675;BR;ruig haarmos;TX2009083119064778;nl;Polytrichum piliferum
Polytrichum strictum Menzies ex Brid.;INBSYS0000001737;BR;veenhaarmos;TX2009083119064909;nl;Polytrichum strictum
Polytrichum uliginosum (Wallr.) Schriebl.;INBSYS0000001552;BR;Polytrichum uliginosum (Wallr.) Schriebl.;INBSYS0000001552;Sci;Polytrichum uliginosum
Pontederia;INBSYS0000015740;VP;Pontederia;INBSYS0000015740;Sci;Pontederia
Pontederia cordata L.;INBSYS0000013607;VP;Pontederia cordata L.;INBSYS0000013607;Sci;Pontederia cordata
Populus;INBSYS0000014423;VP;populier (g);TX2009083120541459;nl;Populus
Populus ×canadensis Moench;TI2025042200003210;VP;canadapopulier;TX2009083120541790;nl;Populus x canadensis
Populus ×canescens (Ait.) Smith;TI2025042200003211;VP;grauwe abeel;TX2009083120540928;nl;Populus x canescens
Populus ×canescens (Ait.) Smith;TI2025042200003211;VP;Populus canescens (Ait.) Smith;INBSYS0000008925;Sci;Populus x canescens
Populus alba groep;INBSYS0000008928;VP;Populus alba groep;INBSYS0000008928;Sci;Populus alba groep
Populus alba L.;INBSYS0000014424;VP;witte abeel;TX2009083120540696;nl;Populus alba
Populus alba L. (+ Populus xcanescens (Ait.) Smith);TI2025042200003212;VP;witte en grauwe abeel;TX2009083120540596;nl;Populus alba xcanescens
Populus balsamifera L.;INBSYS0000015104;VP;ontariopopulier;TX2009083120540712;nl;Populus balsamifera
Populus deltoides Marshall;INBSYS0000008924;VP;amerikaanse populier;TX2009083120541028;nl;Populus deltoides
Populus nigra L.;INBSYS0000016776;VP;zwarte populier;TX2009083120541243;nl;Populus nigra
Populus nigra L. var. italica Muenchh.;TX2009083117200212;VP;italiaanse populier;TX2009083120541143;nl;Populus nigra var. italica
Populus nigra L. var. nigra;TX2009083117200412;VP;zwarte populier var. nigra;TX2009083120541359;nl;Populus nigra var. nigra
Populus tremula L.;INBSYS0000014425;VP;ratelpopulier;TX2009083120541575;nl;Populus tremula
Populus trichocarpa Torr. et A. Gray ex Hook.;INBSYS0000008921;VP;zwarte balsempopulier;TX2009083120541675;nl;Populus trichocarpa
Populus x generosa A. Henry;INBSYS0000017100;VP;Populus x generosa A. Henry;INBSYS0000017100;Sci;Populus x generosa
Populus x jackii Sarg.;TI2025042200003213;VP;Populus candicans auct. non Ait.;INBSYS0000008927;Sci;Populus x jackii
Populus x jackii Sarg.;TI2025042200003213;VP;Populus x gileadensis Rouleau;INBSYS0000017101;Sci;Populus x jackii
Porella;INBSYS0000001984;BR;pelsmos (g);TX2009083119065440;nl;Porella
Porella arboris-vitae (With.) Grolle;INBSYS0000001564;BR;getand pelsmos;TX2009083119065009;nl;Porella arboris-vitae
Porella cordaeana (Huebener) Moore;INBSYS0000001382;BR;beekpelsmos;TX2009083119065125;nl;Porella cordaeana
Porella pinnata L.;TI2025042200003214;BR;smal pelsmos;TX2009083119065225;nl;Porella pinnata
Porella platyphylla (L.) Pfeiff.;INBSYS0000001410;BR;gewoon pelsmos;TX2009083119065340;nl;Porella platyphylla
Porella platyphylla (L.) Pfeiff.;INBSYS0000001410;BR;Porella baueri (Schiffn.) C.Jens.;INBSYS0000023203;Sci;Porella platyphylla
Porina;TX2009083118131815;LI;olievlekje;TI2025042200004302;nl;Porina
Porina borreri (Trevisan) D. Hawksw. & P. James;TX2009083118131515;LI;Porina borreri (Trevisan) D. Hawksw. & P. James;TX2009083118131515;Sci;Porina borreri
Porina leptalea (Durieu & Mont.) A.L. Sm.;TX2009083118131715;LI;bruin olievlekje;TI2025042200003667;nl;Porina leptalea
Porocyphus;TX2009083118132115;LI;dropkorst;TI2025042200003746;nl;Porocyphus
Porocyphus byssoides Hepp;INBSYS0000056866;LI;kleine dropkorst;TI2025042200004132;nl;Porocyphus byssoides
Porocyphus coccodes (Flotow) Körb.;TX2009083118132015;LI;gewone dropkorst;TI2025042200003882;nl;Porocyphus coccodes
Porpidia;TX2009083118132731;LI;blauwkorst;TI2025042200003604;nl;Porpidia
Porpidia crustulata (Ach.) Hertel & Knoph;INBSYS0000057724;LI;kleine blauwkorst;TI2025042200004130;nl;Porpidia crustulata
Porpidia macrocarpa (DC.) Hertel & A.J. Schwab;TX2009083118132331;LI;granietblauwkorst;TI2025042200003929;nl;Porpidia macrocarpa
Porpidia musiva (Körb.) Hertel & Knoph;INBSYS0000058754;LI;grote blauwkorst;TI2025042200003986;nl;Porpidia musiva
Porpidia platycarpoides (Bagl.) Hertel;INBSYS0000057726;LI;platte blauwkorst;TI2025042200004346;nl;Porpidia platycarpoides
Porpidia soredizodes (Lamy) J.R. Laundon;TI2025042200003215;LI;dunne blauwkorst;TI2025042200003766;nl;Porpidia soredizodes
Porpidia tuberculosa (Sm.) Hertel & Knoph;INBSYS0000057727;LI;dikke blauwkorst;TI2025042200003716;nl;Porpidia tuberculosa
Portulaca;INBSYS0000015741;VP;postelein (g);TX2009083120542021;nl;Portulaca
Portulaca grandiflora Hook.;INBSYS0000008920;VP;Portulaca grandiflora Hook.;INBSYS0000008920;Sci;Portulaca grandiflora
Portulaca oleracea L.;INBSYS0000014031;VP;postelein;TX2009083120541890;nl;Portulaca oleracea
Portulaca oleracea L. subsp. oleracea;TX2009083117201228;VP;Portulaca oleracea L. subsp. oleracea;TX2009083117201228;Sci;Portulaca oleracea subsp. oleracea
Portulaca oleracea L. subsp. sativa (Haw.) Čelak.;TI2025042200003216;VP;postelein subsp. sativa;TX2009083120541906;nl;Portulaca oleracea subsp. sativa
Portulaca oleracea L. subsp. sativa (Haw.) Čelak.;TI2025042200003216;VP;Portulaca sativa Haw.;TI2025042200004813;Sci;Portulaca oleracea subsp. sativa
Potamogeton;INBSYS0000015203;VP;fonteinkruid (g);TX2009083120543862;nl;Potamogeton
Potamogeton ×angustifolius J. Presl;TI2025042200003217;VP;gegolfd fonteinkruid;TX2009083120544293;nl;Potamogeton x angustifolius
Potamogeton ×angustifolius J. Presl;TI2025042200003217;VP;Potamogeton zizii Koch ex Rothb;INBSYS0000008909;Sci;Potamogeton x angustifolius
Potamogeton ×bennettii Fryer;TI2025042200003218;VP;Potamogeton ×bennettii Fryer;TI2025042200003218;Sci;Potamogeton x bennettii
Potamogeton ×cadburyae Dandy et G. Taylor;TI2025042200003219;VP;Potamogeton ×cadburyae Dandy et G. Taylor;TI2025042200003219;Sci;Potamogeton x cadburyae
Potamogeton ×cooperi (Fryer) Fryer;TI2025042200003220;VP;Potamogeton ×cooperi (Fryer) Fryer;TI2025042200003220;Sci;Potamogeton x cooperi
Potamogeton ×lintonii Fryer;TI2025042200003221;VP;puntig x gekroesd fonteinkruid;TX2009083120544078;nl;Potamogeton x lintonii
Potamogeton ×nitens Weber;TI2025042200003222;VP;Potamogeton ×nitens Weber;TI2025042200003222;Sci;Potamogeton x nitens
Potamogeton ×salicifolius Wolfg.;TI2025042200003223;VP;wilgfonteinkruid;TX2009083120544193;nl;Potamogeton x salicifolius
Potamogeton ×schreberi G. Fisch.;TI2025042200003224;VP;Potamogeton ×schreberi G. Fisch.;TI2025042200003224;Sci;Potamogeton x schreberi
Potamogeton ×sparganiifolius Laest. ex Fries;TI2025042200003225;VP;Potamogeton ×sparganiifolius Laest. ex Fries;TI2025042200003225;Sci;Potamogeton x sparganiifolius
Potamogeton acutifolius Link;INBSYS0000013573;VP;spits fonteinkruid;TX2009083120542121;nl;Potamogeton acutifolius
Potamogeton alpinus Balb.;INBSYS0000017102;VP;rossig fonteinkruid;TX2009083120542237;nl;Potamogeton alpinus
Potamogeton alpinus Balb.;INBSYS0000017102;VP;Potamogeton rufescens Schrad.;INBSYS0000016178;Sci;Potamogeton alpinus
Potamogeton berchtoldii Fieb.;INBSYS0000008917;VP;Potamogeton pusillus auct. non L.;INBSYS0000008916;Sci;Potamogeton berchtoldii
Potamogeton berchtoldii Fieb.;INBSYS0000008917;VP;klein fonteinkruid;TX2009083120542337;nl;Potamogeton berchtoldii
Potamogeton coloratus Hornem.;INBSYS0000013564;VP;weegbreefonteinkruid;TX2009083120542453;nl;Potamogeton coloratus
Potamogeton coloratus Hornem.;INBSYS0000013564;VP;Potamogeton plantagineus Roem. et Schult.;INBSYS0000008915;Sci;Potamogeton coloratus
Potamogeton compressus L.;INBSYS0000013572;VP;Potamogeton zosterifolius C.F. Schumach.;INBSYS0000008914;Sci;Potamogeton compressus
Potamogeton compressus L.;INBSYS0000013572;VP;plat fonteinkruid;TX2009083120542553;nl;Potamogeton compressus
Potamogeton crispus L.;INBSYS0000013574;VP;gekroesd fonteinkruid;TX2009083120542668;nl;Potamogeton crispus
Potamogeton friesii Rupr.;INBSYS0000013570;VP;puntig fonteinkruid;TX2009083120542984;nl;Potamogeton friesii
Potamogeton friesii Rupr.;INBSYS0000013570;VP;Potamogeton mucronatus Schrad. ex Sonder;INBSYS0000008913;Sci;Potamogeton friesii
Potamogeton gramineus L.;INBSYS0000013567;VP;Potamogeton heterophyllus Schreb.;INBSYS0000016175;Sci;Potamogeton gramineus
Potamogeton gramineus L.;INBSYS0000013567;VP;ongelijkbladig fonteinkruid;TX2009083120542768;nl;Potamogeton gramineus
Potamogeton lucens L.;INBSYS0000013566;VP;glanzig fonteinkruid;TX2009083120542884;nl;Potamogeton lucens
Potamogeton natans L.;INBSYS0000013563;VP;drijvend fonteinkruid;TX2009083120543000;nl;Potamogeton natans
Potamogeton nodosus Poiret;INBSYS0000013565;VP;rivierfonteinkruid;TX2009083120543100;nl;Potamogeton nodosus
Potamogeton nodosus Poiret;INBSYS0000013565;VP;Potamogeton fluitans auct. non Roth;INBSYS0000008912;Sci;Potamogeton nodosus
Potamogeton obtusifolius Mert. et Koch;INBSYS0000008911;VP;stomp fonteinkruid;TX2009083120543215;nl;Potamogeton obtusifolius
Potamogeton perfoliatus L.;INBSYS0000013569;VP;doorgroeid fonteinkruid;TX2009083120543431;nl;Potamogeton perfoliatus
Potamogeton polygonifolius Pourr.;INBSYS0000017103;VP;duizendknoopfonteinkruid;TX2009083120543546;nl;Potamogeton polygonifolius
Potamogeton polygonifolius Pourr.;INBSYS0000017103;VP;Potamogeton oblongus Viv.;INBSYS0000016176;Sci;Potamogeton polygonifolius
Potamogeton praelongus Wulfen;INBSYS0000013568;VP;langstengelig fonteinkruid;TX2009083120543646;nl;Potamogeton praelongus
Potamogeton pusillus L.;INBSYS0000013571;VP;tenger fonteinkruid;TX2009083120543762;nl;Potamogeton pusillus
Potamogeton pusillus L.;INBSYS0000013571;VP;Potamogeton panormitanus Biv.;INBSYS0000016177;Sci;Potamogeton pusillus
Potamogeton trichoides Cham. et Schlecht.;INBSYS0000008910;VP;haarfonteinkruid;TX2009083120543978;nl;Potamogeton trichoides
Potamogeton x cognatus Asch. & Graebn.;INBSYS0000017105;VP;Potamogeton x cognatus Asch. & Graebn.;INBSYS0000017105;Sci;Potamogeton x cognatus
Potentilla;INBSYS0000015742;VP;ganzerik (g);TX2009083120550034;nl;Potentilla
Potentilla anglica Laichard.;INBSYS0000017106;VP;kruipganzerik;TX2009083120544409;nl;Potentilla anglica
Potentilla anglica Laichard.;INBSYS0000017106;VP;Potentilla procumbens Sibth.;TX2009083118385503;Sci;Potentilla anglica
Potentilla argentea L.;INBSYS0000014196;VP;viltganzerik;TX2009083120544625;nl;Potentilla argentea
Potentilla erecta (L.) Räuschel;INBSYS0000008908;VP;tormentil;TI2025042200004541;nl;Potentilla erecta
Potentilla erecta (L.) Räuschel;INBSYS0000008908;VP;Potentilla silvestris Neck.;INBSYS0000016182;Sci;Potentilla erecta
Potentilla erecta (L.) Räuschel;INBSYS0000008908;VP;Potentilla tormentilla Stokes;INBSYS0000016183;Sci;Potentilla erecta
Potentilla erecta (L.) Räuschel;INBSYS0000008908;VP;Tormentilla erecta L.;INBSYS0000017376;Sci;Potentilla erecta
Potentilla inclinata Vill.;INBSYS0000017107;VP;Potentilla canescens Besser;INBSYS0000016179;Sci;Potentilla inclinata
Potentilla inclinata Vill.;INBSYS0000017107;VP;grijze ganzerik;TX2009083120544956;nl;Potentilla inclinata
Potentilla indica (Andrews) Th. Wolf;TI2025042200003226;VP;schijnaardbei;TX2009083120390106;nl;Potentilla indica
Potentilla indica (Andrews) Th. Wolf;TI2025042200003226;VP;Duchesnea indica (Andrews) Focke;INBSYS0000014201;Sci;Potentilla indica
Potentilla indica (Andrews) Th. Wolf;TI2025042200003226;VP;Potentilla indica (Andrews) Wolf;INBSYS0000009890;Sci;Potentilla indica
Potentilla indica (Andrews) Th. Wolf;TI2025042200003226;VP;Fragaria indica Andrews;INBSYS0000009891;Sci;Potentilla indica
Potentilla intermedia L.;INBSYS0000014199;VP;middelste ganzerik;TX2009083120545056;nl;Potentilla intermedia
Potentilla montana Brot.;INBSYS0000016628;VP;bergganzerik;TX2009083120545171;nl;Potentilla montana
Potentilla neumanniana Reichenb.;INBSYS0000008901;VP;voorjaarsganzerik;TX2009083120550365;nl;Potentilla neumanniana
Potentilla neumanniana Reichenb.;INBSYS0000008901;VP;Potentilla verna L. p.p., nom. ambig.;INBSYS0000008902;Sci;Potentilla neumanniana
Potentilla neumanniana Reichenb.;INBSYS0000008901;VP;Potentilla tabernaemontani Aschers.;INBSYS0000008903;Sci;Potentilla neumanniana
Potentilla norvegica L.;INBSYS0000014198;VP;noorse ganzerik;TX2009083120545487;nl;Potentilla norvegica
Potentilla norvegica L. subsp. monspeliensis (L.) Aschers. et Graebn.;TX2009083117204706;VP;noorse ganzerik subsp. monsepelliensis;TX2009083120545271;nl;Potentilla norvegica subsp. monspeliensis
Potentilla norvegica L. subsp. monspeliensis (L.) Aschers. et Graebn.;TX2009083117204706;VP;Potentilla norvegica L. subsp. hirsuta (Michaux) Hyl.;TX2009083118390003;Sci;Potentilla norvegica subsp. monspeliensis
Potentilla norvegica L. subsp. norvegica;TX2009083117204806;VP;noorse ganzerik subsp. norvegica;TX2009083120545387;nl;Potentilla norvegica subsp. norvegica
Potentilla recta L.;INBSYS0000014197;VP;rechte ganzerik;TX2009083120545603;nl;Potentilla recta
Potentilla reptans L.;INBSYS0000014200;VP;vijfvingerkruid;TX2009083120545718;nl;Potentilla reptans
Potentilla rivalis Nutt. ex Torr. et A. Gray;INBSYS0000008904;VP;oeverganzerik;TX2009083120545818;nl;Potentilla rivalis
Potentilla sterilis (L.) Garcke;INBSYS0000014193;VP;aardbeiganzerik;TX2009083120550150;nl;Potentilla sterilis
Potentilla sterilis (L.) Garcke;INBSYS0000014193;VP;Potentilla fragariastrum Pers.;INBSYS0000016180;Sci;Potentilla sterilis
Potentilla sterilis (L.) Garcke;INBSYS0000014193;VP;Fragaria sterilis L.;INBSYS0000017316;Sci;Potentilla sterilis
Potentilla supina L.;INBSYS0000016629;VP;liggende ganzerik;TX2009083120550265;nl;Potentilla supina
Potentilla x italica Lehm.;TI2025042200003227;VP;tormentil x vijfvingerkruid;TI2025042200004542;nl;Potentilla x italica
Potentilla x mixta Nolte Nolte ex Reichenbach.;INBSYS0000008900;VP;kruipganzerik x vijfvingerkruid;TX2013080712043545;nl;Potentilla x mixta
Potentilla x suberecta Zimmeter;INBSYS0000017108;VP;kruipganzerik x tormentil;TX2009083120544309;nl;Potentilla x suberecta
Pottia;TI2025042200003228;BR;Pottia;TI2025042200003228;Sci;Pottia
Pottiopsis caespitosa (Bruch ex Brid.) Blockeel & A.J.E.Sm.;TI2025042200003229;BR;Pottiopsis caespitosa (Bruch ex Brid.) Blockeel & A.J.E.Sm.;TI2025042200003229;Sci;Pottiopsis caespitosa
Pratia;INBSYS0000015743;VP;Pratia;INBSYS0000015743;Sci;Pratia
Preissia;INBSYS0000001985;BR;vierkantmos (g);TX2009083119065656;nl;Preissia
Prenanthes purpurea L.;TX2009083117210137;VP;Prenanthes purpurea L.;TX2009083117210137;Sci;Prenanthes purpurea
Primula;INBSYS0000015202;VP;sleutelbloem (g);TX2009083120550696;nl;Primula
Primula elatior (L.) Hill;INBSYS0000014456;VP;slanke sleutelbloem;TX2009083120550581;nl;Primula elatior
Primula veris L.;INBSYS0000014455;VP;gulden sleutelbloem;TX2009083120550796;nl;Primula veris
Primula veris L.;INBSYS0000014455;VP;Primula officinalis Hill;INBSYS0000008898;Sci;Primula veris
Primula vulgaris Huds.;INBSYS0000017110;VP;Primula grandiflora Lam.;INBSYS0000008897;Sci;Primula vulgaris
Primula vulgaris Huds.;INBSYS0000017110;VP;Primula acaulis (L.) Hill;INBSYS0000016184;Sci;Primula vulgaris
Primula vulgaris Huds.;INBSYS0000017110;VP;stengelloze sleutelbloem;TX2009083120550812;nl;Primula vulgaris
Primula x digenea A. Kerner;INBSYS0000008896;VP;Primula x digenea A. Kerner;INBSYS0000008896;Sci;Primula x digenea
Proboscidea louisianica (Mill.) Thell.;TX2009083117210753;VP;Proboscidea louisianica (Mill.) Thell.;TX2009083117210753;Sci;Proboscidea louisianica
Pronectria;TX2009083118133346;LI;Pronectria;TX2009083118133346;Sci;Pronectria
Pronectria oligospora Lowen & Rogerson;TX2009083118133031;LI;Pronectria oligospora Lowen & Rogerson;TX2009083118133031;Sci;Pronectria oligospora
Pronectria oligospora Lowen & Rogerson var. Octospora;TX2009083118132931;LI;Pronectria oligospora Lowen & Rogerson var. Octospora;TX2009083118132931;Sci;Pronectria oligospora
Pronectria robergei (Mont. & Desm.) Lowen;INBSYS0000057628;LI;Pronectria robergei (Mont. & Desm.) Lowen;INBSYS0000057628;Sci;Pronectria robergei
